DATE,LRUN64TTUSQ156S
2016-04-01,4.98230338162968
2016-07-01,4.95298225098308
2016-10-01,4.83665876028453
2017-01-01,4.6512562119468
2017-04-01,4.40108695043029
2017-07-01,4.38076882365019
2017-10-01,4.1834245483649
2018-01-01,4.14301794313595
2018-04-01,3.96550764801048
2018-07-01,3.79608821784477
2018-10-01,3.84628390157352
2019-01-01,3.92785837358807
2019-04-01,3.64789182215217
2019-07-01,3.6701308531009
2019-10-01,3.61512948098953
2020-01-01,3.94562453861751
2020-04-01,13.2444337474473
2020-07-01,8.69092588044152
2020-10-01,6.98912926259605
2021-01-01,6.24865265007169
2021-04-01,5.95305995950818
2021-07-01,5.11209427963316
